ticker,name,sector,form,filing_date,accession,source_url,local_path,status
BNY,Bank of New York Mellon,Financials,8-K,2026-06-24,0001193125-26-281160,https://www.sec.gov/Archives/edgar/data/1390777/000119312526281160/d137058d8k.htm,sp100_dataset/BNY/8-K_2026-06-24.txt,cached
BNY,Bank of New York Mellon,Financials,DEF 14A,2026-03-05,0001193125-26-092500,https://www.sec.gov/Archives/edgar/data/1390777/000119312526092500/d52987ddef14a.htm,sp100_dataset/BNY/DEF14A_2026-03-05.txt,cached
BNY,Bank of New York Mellon,Financials,10-K,2026-02-25,0001390777-26-000033,https://www.sec.gov/Archives/edgar/data/1390777/000139077726000033/bk-20251231.htm,sp100_dataset/BNY/10-K_2026-02-25.txt,cached
BKNG,Booking Holdings,Consumer Discretionary,8-K,2026-06-02,0001075531-26-000031,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000031/bkng-20260602.htm,sp100_dataset/BKNG/8-K_2026-06-02.txt,cached
BKNG,Booking Holdings,Consumer Discretionary,8-K,2026-05-11,0001104659-26-058730,https://www.sec.gov/Archives/edgar/data/1075531/000110465926058730/tm2614215d1_8k.htm,sp100_dataset/BKNG/8-K_2026-05-11.txt,cached
BKNG,Booking Holdings,Consumer Discretionary,DEF 14A,2026-04-21,0001308179-26-000310,https://www.sec.gov/Archives/edgar/data/1075531/000130817926000310/bkng-20260420.htm,sp100_dataset/BKNG/DEF14A_2026-04-21.txt,cached
BKNG,Booking Holdings,Consumer Discretionary,10-K,2026-02-18,0001075531-26-000009,https://www.sec.gov/Archives/edgar/data/1075531/000107553126000009/bkng-20251231.htm,sp100_dataset/BKNG/10-K_2026-02-18.txt,cached
BLK,BlackRock,Financials,8-K,2026-07-15,0001193125-26-304013,https://www.sec.gov/Archives/edgar/data/2012383/000119312526304013/blk-20260715.htm,sp100_dataset/BLK/8-K_2026-07-15.txt,cached
BLK,BlackRock,Financials,8-K,2026-06-30,0001193125-26-290830,https://www.sec.gov/Archives/edgar/data/2012383/000119312526290830/d108689d8k.htm,sp100_dataset/BLK/8-K_2026-06-30.txt,cached
BLK,BlackRock,Financials,DEF 14A,2026-04-10,0001308179-26-000262,https://www.sec.gov/Archives/edgar/data/2012383/000130817926000262/ny-20260410.htm,sp100_dataset/BLK/DEF14A_2026-04-10.txt,cached
BLK,BlackRock,Financials,10-K,2026-02-25,0001193125-26-071966,https://www.sec.gov/Archives/edgar/data/2012383/000119312526071966/blk-20251231.htm,sp100_dataset/BLK/10-K_2026-02-25.txt,cached
BMY,Bristol Myers Squibb,Health Care,8-K,2026-05-08,0001140361-26-020036,https://www.sec.gov/Archives/edgar/data/14272/000114036126020036/ef20072750_8k.htm,sp100_dataset/BMY/8-K_2026-05-08.txt,cached
BMY,Bristol Myers Squibb,Health Care,8-K,2026-04-30,0000014272-26-000008,https://www.sec.gov/Archives/edgar/data/14272/000001427226000008/bmy-20260430.htm,sp100_dataset/BMY/8-K_2026-04-30.txt,cached
BMY,Bristol Myers Squibb,Health Care,DEF 14A,2026-03-25,0000014272-26-000006,https://www.sec.gov/Archives/edgar/data/14272/000001427226000006/bmy-20260325.htm,sp100_dataset/BMY/DEF14A_2026-03-25.txt,cached
BMY,Bristol Myers Squibb,Health Care,10-K,2026-02-11,0000014272-26-000004,https://www.sec.gov/Archives/edgar/data/14272/000001427226000004/bmy-20251231.htm,sp100_dataset/BMY/10-K_2026-02-11.txt,cached
BRK.B,Berkshire Hathaway (Class B),Financials,8-K,2026-05-07,0001193125-26-212148,https://www.sec.gov/Archives/edgar/data/1067983/000119312526212148/d74313d8k.htm,sp100_dataset/BRK.B/8-K_2026-05-07.txt,cached
